uf;municipio;matricula_tecnico;setor
PR;CURITIBA;TR612677;PR.CWS.PIN.11
PR;CURITIBA;TR612677;PR.CWS.BOQ.11
PR;CURITIBA;TR612677;PR.CWS.PIN.12
PR;CURITIBA;TR614425;PR.CSM.TAR.11
PR;CURITIBA;TR614426;PR.CWN.SFE.11
PR;CURITIBA;TR614426;PR.CWN.CEO.12
PR;CURITIBA;TR614599;PR.CNM.BOV.11
PR;CURITIBA;TR615203;PR.CWS.ARR.12
PR;CURITIBA;TR615257;PR.CNM.ATT.11
PR;CURITIBA;TR615264;PR.CWS.ARR.12
PR;CURITIBA;TR615264;PR.CWS.ARR.13
PR;CURITIBA;TR615266;PR.CNM.ATT.11
PR;CURITIBA;TR615267;PR.CWS.PIN.11
PR;CURITIBA;TR615267;PR.CWS.PIN.12
PR;CURITIBA;TR615289;PR.CWN.CEO.11
PR;CURITIBA;TR615289;PR.CWN.CEO.12
PR;CURITIBA;TR618077;PR.CWN.SFE.11
PR;CURITIBA;TR618839;PR.CWS.ARR.13
PR;CURITIBA;TR645540;PR.CSM.TAR.11
PR;CURITIBA;TR649749;PR.CSM.TAR.11
PR;CURITIBA;TR649749;PR.CWS.BOQ.11
PR;CURITIBA;TR650001;PR.CWS.BOQ.11
PR;CURITIBA;TR655440;PR.CWS.BOQ.11
PR;CURITIBA;TR655440;PR.CWS.ARR.12
PR;CURITIBA;TR655459;PR.CWS.BOQ.11
PR;CURITIBA;TR655479;PR.CWS.PIN.11
PR;CURITIBA;TR655634;PR.CNM.BOV.11
PR;CURITIBA;TR655847;PR.CWN.CEO.12
PR;CURITIBA;TR655847;PR.CWN.CEO.11
PR;CURITIBA;TR655847;PR.CSM.TAR.11
PR;CURITIBA;TR655847;PR.CWS.ARR.12
PR;CURITIBA;TR658059;PR.CWS.ARR.12
PR;CURITIBA;TR658059;PR.CWS.ARR.11
PR;CURITIBA;TR658060;PR.CWN.CEO.11
PR;CURITIBA;TR658069;PR.CWS.PIN.11
PR;CURITIBA;TR658069;PR.CWS.PIN.12
PR;CURITIBA;TR658082;PR.CWS.PIN.11
PR;CURITIBA;TR658082;PR.CWS.BOQ.11
PR;CURITIBA;TR658423;PR.CWN.SFE.11
PR;CURITIBA;TR658423;PR.CWN.CEO.12
PR;CURITIBA;TR658424;PR.CNM.ATT.11
PR;CURITIBA;TR658424;PR.CWS.BOQ.11
PR;CURITIBA;TR658732;PR.CWN.CEO.11
PR;CURITIBA;TR660298;PR.CWS.PIN.11
PR;CURITIBA;TR660298;PR.CWS.PIN.12
PR;CURITIBA;TR660299;PR.CWS.PIN.12
PR;CURITIBA;TR660303;PR.CWS.PIN.11
PR;CURITIBA;TR660303;PR.CWS.ARR.13
PR;CURITIBA;TR660303;PR.CWS.ARR.12
PR;CURITIBA;TR660303;PR.CWS.PIN.12
PR;CURITIBA;TR660305;PR.CWS.ARR.11
PR;CURITIBA;TR660305;PR.CWS.ARR.13
PR;CURITIBA;TR660305;PR.CWS.ARR.12
PR;CURITIBA;TR661376;PR.CSM.TAR.11
PR;CURITIBA;TR661376;PR.CWS.BOQ.11
PR;CURITIBA;TR661376;PR.CWS.ARR.11
PR;CURITIBA;TR661376;PR.CNM.BOV.11
PR;CURITIBA;TR665403;PR.CWS.ARR.12
PR;CURITIBA;TR665403;PR.CWS.ARR.11
PR;CURITIBA;TR665403;PR.CWS.ARR.13
PR;CURITIBA;TR665408;PR.CWS.PIN.11
PR;CURITIBA;TR665408;PR.CSM.TAR.11
PR;CURITIBA;TR665408;PR.CWN.CEO.11
PR;CURITIBA;TR665408;PR.CWS.BOQ.11
PR;CURITIBA;TR665408;PR.CWS.ARR.11
PR;CURITIBA;TR665417;PR.CNM.BOV.11
PR;CURITIBA;TR669366;PR.CWS.PIN.12
PR;CURITIBA;TR669369;PR.CNM.ATT.11
PR;CURITIBA;TR678135;PR.CWN.CEO.12
PR;CURITIBA;TR678701;PR.CWN.SFE.11
PR;CURITIBA;TR678701;PR.CWS.PIN.11
PR;CURITIBA;TR678701;PR.CWN.CEO.11
PR;CURITIBA;TR682760;PR.CNM.BOV.11
PR;CURITIBA;TR682760;PR.CWN.CEO.12
PR;CURITIBA;TR683007;PR.CWN.SFE.11
PR;CURITIBA;TR687175;PR.CNM.ATT.11
PR;CURITIBA;TR690917;PR.CSM.TAR.11
PR;CURITIBA;TR709373;PR.CNM.BOV.11
PR;CURITIBA;TR717868;PR.CWS.PIN.12
PR;CURITIBA;TR720499;PR.CWS.ARR.12
PR;CURITIBA;TR720499;PR.CWS.BOQ.11
PR;CURITIBA;TR720508;PR.CWN.CEO.12
PR;CURITIBA;TR720508;PR.CWN.CEO.11
PR;CURITIBA;TR720508;PR.CNM.BOV.11
PR;CURITIBA;TR722864;PR.CWN.CEO.11
PR;CURITIBA;TR722864;PR.CWS.ARR.12
PR;CURITIBA;TR722864;PR.CWS.ARR.11
PR;CURITIBA;TR722864;PR.CWS.ARR.13
PR;CURITIBA;TR722866;PR.CWS.ARR.13
PR;CURITIBA;TR722866;PR.CWS.PIN.11
PR;CURITIBA;TR722866;PR.CWS.ARR.12
PR;CURITIBA;TR722866;PR.CWS.PIN.12
PR;CURITIBA;TR722875;PR.CSM.TAR.11
PR;CURITIBA;TR722876;PR.CWS.PIN.12
PR;CURITIBA;TR722878;PR.CNM.ATT.11
PR;CURITIBA;TR722906;PR.CWN.CEO.11
PR;CURITIBA;TR722908;PR.CSM.TAR.11
PR;CURITIBA;TR722908;PR.CWS.BOQ.11
PR;CURITIBA;TR725505;PR.CNM.BOV.11
PR;CURITIBA;TR725505;PR.CWS.ARR.11
PR;CURITIBA;TR725505;PR.CWS.ARR.12
PR;CURITIBA;TR725506;PR.CWS.PIN.12
PR;CURITIBA;TR728231;PR.CNM.BOV.11
PR;CURITIBA;TR729537;PR.CWS.ARR.12
PR;CURITIBA;TR730533;PR.CNM.BOV.11
PR;CURITIBA;TR730533;PR.CWN.CEO.12
PR;CURITIBA;TR733836;PR.CWN.CEO.11
PR;CURITIBA;TR740491;PR.CWN.CEO.12
PR;CURITIBA;TR740491;PR.CWN.CEO.11
PR;CURITIBA;TR740491;PR.CNM.BOV.11
PR;CURITIBA;TR750189;PR.CNM.BOV.11
PR;CURITIBA;TR750190;PR.CWN.CEO.11
PR;CURITIBA;TR750300;PR.CWN.SFE.11
PR;CURITIBA;TR750300;PR.CWN.CEO.12
PR;CURITIBA;TR750492;PR.CWN.CEO.12
PR;CURITIBA;TR755481;PR.CWN.CEO.11
PR;CURITIBA;TR755481;PR.CWN.CEO.12
PR;CURITIBA;TR756031;PR.CWS.PIN.11
PR;CURITIBA;TR756031;PR.CWS.PIN.12
PR;CURITIBA;TR756031;PR.CWS.ARR.12
PR;CURITIBA;TR756031;PR.CWS.ARR.11
PR;CURITIBA;TR756048;PR.CWS.PIN.11
PR;CURITIBA;TR756048;PR.CWS.PIN.12
PR;CURITIBA;TR758398;PR.CWN.SFE.11
PR;CURITIBA;TR758407;PR.CSM.TAR.11
PR;CURITIBA;TR758407;PR.CWS.BOQ.11
PR;CURITIBA;TR758407;PR.CWS.ARR.13
PR;CURITIBA;TR758729;PR.CSM.TAR.11
PR;CURITIBA;TR758729;PR.CWS.BOQ.11
PR;CURITIBA;TR761195;PR.CNM.ATT.11
PR;CURITIBA;TR761219;PR.CWN.CEO.12
PR;CURITIBA;TR776292;PR.CWN.CEO.11
PR;CURITIBA;TR776295;PR.CWN.CEO.12
PR;CURITIBA;TR776296;PR.CNM.BOV.11
PR;CURITIBA;TR776306;PR.CNM.BOV.11
PR;CURITIBA;TR776309;PR.CWN.CEO.11
PR;CURITIBA;TR776309;PR.CWN.CEO.12
PR;CURITIBA;TR782338;PR.CWN.CEO.12
PR;CURITIBA;TR782338;PR.CWS.ARR.12
PR;CURITIBA;TR782338;PR.CWS.BOQ.11
PR;CURITIBA;TR782338;PR.CSM.TAR.11
PR;CURITIBA;TR782338;PR.CWN.CEO.11
PR;CURITIBA;TR782338;PR.CWS.ARR.11
PR;CURITIBA;TR783918;PR.CNM.ATT.11
PR;CURITIBA;TR783922;PR.CNM.ATT.11
PR;CURITIBA;TR783922;PR.CWN.CEO.12
PR;CURITIBA;TR783922;PR.CNM.BOV.11
PR;CURITIBA;TR783927;PR.CWN.CEO.11
PR;CURITIBA;TR783927;PR.CWN.CEO.12
PR;CURITIBA;TR783927;PR.CWS.PIN.11
PR;CURITIBA;TR783927;PR.CWN.SFE.11
PR;CURITIBA;TR783927;PR.CWS.ARR.11
PR;CURITIBA;TR785720;PR.CWN.CEO.12
PR;CURITIBA;TR785720;PR.CWN.CEO.11
PR;CURITIBA;TR785720;PR.CWS.PIN.11
PR;CURITIBA;TR785720;PR.CSM.TAR.11
PR;CURITIBA;TR785720;PR.CWN.SFE.11
PR;CURITIBA;TR785758;PR.CNM.BOV.11
PR;CURITIBA;TR785758;PR.CWS.BOQ.11
PR;CURITIBA;TR785758;PR.CWN.SFE.11
PR;CURITIBA;TR785758;PR.CWS.PIN.11
PR;CURITIBA;TR785758;PR.CWN.CEO.12
PR;CURITIBA;TR785950;PR.CSM.TAR.11
PR;CURITIBA;TR785950;PR.CSM.TAR.12
PR;CURITIBA;TR785950;PR.CNM.BOV.11
PR;CURITIBA;TR785952;PR.CNM.BOV.11
PR;CURITIBA;TR786014;PR.CWS.ARR.12
PR;CURITIBA;TR786014;PR.CWS.ARR.13
PR;CURITIBA;TR786014;PR.CWS.ARR.11
PR;CURITIBA;TR786614;PR.CSM.TAR.11
PR;CURITIBA;TR787012;PR.CWS.PIN.11
PR;CURITIBA;TR787012;PR.CWS.ARR.13
PR;CURITIBA;TR787012;PR.CWS.ARR.11
PR;CURITIBA;TR787185;PR.CSM.TAR.11
PR;CURITIBA;TR787185;PR.CNM.BOV.11
PR;CURITIBA;TR787362;PR.CWN.CEO.12
PR;CURITIBA;TR787362;PR.CWN.CEO.11
PR;CURITIBA;TR787362;PR.CWN.SFE.11
PR;CURITIBA;TR787362;PR.CWS.PIN.11
PR;CURITIBA;TR787478;PR.CNM.BOV.11
PR;CURITIBA;TR787706;PR.CNM.BOV.11
PR;CURITIBA;TR787706;PR.CWS.ARR.11
PR;CURITIBA;TR787707;PR.CSM.TAR.12
PR;CURITIBA;TR787707;PR.CSM.TAR.11
PR;CURITIBA;TR787712;PR.CNM.BOV.11
PR;CURITIBA;TR787905;PR.CWS.BOQ.11
PR;CURITIBA;TR787905;PR.CWS.ARR.11
PR;CURITIBA;TR787905;PR.CWS.ARR.13
PR;CURITIBA;TR787905;PR.CWS.ARR.12
PR;CURITIBA;TR787920;PR.CNM.BOV.11
PR;CURITIBA;TR787924;PR.CWS.ARR.11
PR;CURITIBA;TR787924;PR.CWN.CEO.12
PR;CURITIBA;TR787924;PR.CNM.BOV.11
PR;CURITIBA;TR788014;PR.CWN.CEO.11
PR;CURITIBA;TR788014;PR.CWN.CEO.12
PR;CURITIBA;TR788190;PR.CNM.BOV.11
PR;CURITIBA;TR788190;PR.CWS.BOQ.11
PR;CURITIBA;TR788190;PR.CSM.TAR.11
PR;CURITIBA;TR788190;PR.CWS.PIN.11
PR;CURITIBA;TR788191;PR.CWN.SFE.11
PR;CURITIBA;TR788191;PR.CWN.CEO.12
PR;CURITIBA;TR788191;PR.CWN.CEO.11
PR;CURITIBA;TR788191;PR.CSM.TAR.11
PR;CURITIBA;TR788191;PR.CWS.BOQ.11
PR;CURITIBA;TR788191;PR.CNM.ATT.11
PR;CURITIBA;TR788191;PR.CWS.PIN.11
PR;CURITIBA;TR788448;PR.CWS.ARR.11
PR;CURITIBA;TR788448;PR.CWS.ARR.13
PR;CURITIBA;TR788448;PR.CWS.ARR.12
PR;CURITIBA;TR788450;PR.CWS.ARR.11
PR;CURITIBA;TR788450;PR.CWS.ARR.13
PR;CURITIBA;TR788450;PR.CWS.ARR.12
PR;CURITIBA;TR788457;PR.CSM.TAR.11
PR;CURITIBA;TR788457;PR.CWS.ARR.13
PR;CURITIBA;TR788478;PR.CWS.PIN.11
PR;CURITIBA;TR788478;PR.CWN.CEO.11
PR;CURITIBA;TR788478;PR.CNM.BOV.11
PR;CURITIBA;TR788479;PR.CWS.PIN.11
PR;CURITIBA;TR788480;PR.CWS.ARR.12
PR;CURITIBA;TR788480;PR.CWS.ARR.11
PR;CURITIBA;TR788480;PR.CWS.BOQ.11
PR;CURITIBA;TR788482;PR.CWS.BOQ.11
PR;CURITIBA;TR788482;PR.CWS.ARR.11
PR;CURITIBA;TR788636;PR.CWN.CEO.11
PR;CURITIBA;TR788636;PR.CWN.CEO.12
PR;CURITIBA;TR788637;PR.CWN.SFE.11
PR;CURITIBA;TR788637;PR.CWN.CEO.12
PR;CURITIBA;TR788637;PR.CWS.PIN.11
PR;CURITIBA;TR788639;PR.CNM.ATT.11
PR;CURITIBA;TR788643;PR.CWS.BOQ.11
PR;CURITIBA;TR788651;PR.CWN.SFE.11
PR;CURITIBA;TR788958;PR.CWN.CEO.11
PR;CURITIBA;TR788958;PR.CWS.PIN.12
PR;CURITIBA;TR788960;PR.CNM.CBX.11
PR;CURITIBA;TR788963;PR.CWN.CEO.12
PR;CURITIBA;TR788963;PR.CWN.CEO.11
PR;CURITIBA;TR788966;PR.CWS.PIN.11
PR;CURITIBA;TR788966;PR.CWS.PIN.12
PR;CURITIBA;TR788972;PR.CWS.ARR.11
PR;CURITIBA;TR788972;PR.CWS.ARR.13
PR;CURITIBA;TR788972;PR.CWS.ARR.12
PR;CURITIBA;TR788973;PR.CWS.ARR.13
PR;CURITIBA;TR788973;PR.CWS.ARR.12
PR;CURITIBA;TR788973;PR.CWS.ARR.11
PR;CURITIBA;TR789059;PR.CNM.ATT.11
PR;CURITIBA;TR789133;PR.CWS.PIN.11
PR;CURITIBA;TR789148;PR.CWN.CEO.12
PR;CURITIBA;TR789148;PR.CWN.CEO.11
PR;CURITIBA;TR789150;PR.CNM.BOV.11
PR;CURITIBA;TR789158;PR.CWS.BOQ.11
PR;CURITIBA;TR789162;PR.CNM.BOV.11
PR;CURITIBA;TR789162;PR.CSM.TAR.11
PR;CURITIBA;TR789162;PR.CWS.BOQ.11
PR;CURITIBA;TR789174;PR.CWS.ARR.12
PR;CURITIBA;TR789174;PR.CWS.BOQ.11
PR;CURITIBA;TR789174;PR.CWS.ARR.11
PR;CURITIBA;TR789174;PR.CWS.ARR.13
PR;CURITIBA;TR789185;PR.CSM.TAR.11
PR;CURITIBA;TR789239;PR.CWN.CEO.11
PR;CURITIBA;TR789239;PR.CWN.CEO.12
PR;CURITIBA;TR789239;PR.CSM.TAR.11
PR;CURITIBA;TR789239;PR.CWS.BOQ.11
PR;CURITIBA;TR789239;PR.CNM.BOV.11
PR;CURITIBA;TR789241;PR.CSM.TAR.11
PR;CURITIBA;TR789241;PR.CNM.BOV.11
PR;CURITIBA;TR789244;PR.CWN.SFE.11
PR;CURITIBA;TR789244;PR.CWS.ARR.11
PR;CURITIBA;TR789244;PR.CWS.ARR.13
PR;CURITIBA;TR789244;PR.CWS.BOQ.11
PR;CURITIBA;TR789244;PR.CWS.ARR.12
PR;CURITIBA;TR789244;PR.CWS.PIN.11
PR;CURITIBA;TR789245;PR.CWN.CEO.11
PR;CURITIBA;TR789246;PR.CWN.CEO.12
PR;CURITIBA;TR789246;PR.CSM.TAR.11
PR;CURITIBA;TR789246;PR.CWN.CEO.11
PR;CURITIBA;TR789247;PR.CSM.TAR.11
PR;CURITIBA;TR789247;PR.CWS.BOQ.11
PR;CURITIBA;TR789460;PR.CSM.TAR.11
PR;CURITIBA;TR789466;PR.CWS.ARR.11
PR;CURITIBA;TR789467;PR.CWS.BOQ.11
PR;CURITIBA;TR789467;PR.CWS.ARR.12
PR;CURITIBA;TR789467;PR.CWS.ARR.11
PR;CURITIBA;TR789467;PR.CWS.ARR.13
PR;CURITIBA;TR789467;PR.CWS.PIN.11
PR;CURITIBA;TR789470;PR.CWN.SFE.11
PR;CURITIBA;TR789470;PR.CWN.CEO.12
PR;CURITIBA;TR789470;PR.CWN.CEO.11
PR;CURITIBA;TR789476;PR.CWS.PIN.11
PR;CURITIBA;TR789584;PR.CWS.BOQ.11
PR;CURITIBA;TR789584;PR.CSM.TAR.11
PR;CURITIBA;TR789587;PR.CSM.TAR.11
PR;CURITIBA;TR789587;PR.CWS.BOQ.11
PR;CURITIBA;TR789588;PR.CWS.PIN.11
PR;CURITIBA;TR789588;PR.CWS.ARR.13
PR;CURITIBA;TR789588;PR.CWS.ARR.12
PR;CURITIBA;TR789588;PR.CWS.PIN.12
PR;CURITIBA;TR789590;PR.CWN.CEO.11
PR;CURITIBA;TR789590;PR.CWN.CEO.12
PR;CURITIBA;TR789591;PR.CNM.BOV.11
PR;CURITIBA;TR789591;PR.CWS.ARR.12
PR;CURITIBA;TR789591;PR.CWS.ARR.11
PR;CURITIBA;TR789827;PR.CWS.BOQ.11
PR;CURITIBA;TR789828;PR.CNM.ATT.11
PR;CURITIBA;TR789830;PR.CWS.BOQ.11
PR;CURITIBA;TR789830;PR.CWS.ARR.13
PR;CURITIBA;TR789833;PR.CWS.PIN.11
PR;CURITIBA;TR789833;PR.CWN.CEO.11
PR;CURITIBA;TR789833;PR.CWS.ARR.13
PR;CURITIBA;TR789833;PR.CWS.ARR.12
PR;CURITIBA;TR789836;PR.CWS.BOQ.11
PR;CURITIBA;TR789836;PR.CNM.BOV.11
PR;CURITIBA;TR789836;PR.CWS.PIN.11
PR;CURITIBA;TR789837;PR.CWS.BOQ.11
PR;CURITIBA;TR789840;PR.CWS.PIN.11
PR;CURITIBA;TR789851;PR.CWS.PIN.11
PR;CURITIBA;TR790074;PR.CWN.CEO.11
PR;CURITIBA;TR790074;PR.CWN.SFE.11
PR;CURITIBA;TR790091;PR.CWN.CEO.12
PR;CURITIBA;TR790091;PR.CWS.ARR.13
PR;CURITIBA;TR790091;PR.CWS.ARR.12
PR;CURITIBA;TR790515;PR.CWS.PIN.11
PR;CURITIBA;TR790515;PR.CWS.PIN.12
PR;CURITIBA;TR790565;PR.CWS.BOQ.11
PR;CURITIBA;TR790565;PR.CWS.ARR.11
PR;CURITIBA;TR790595;PR.CWS.PIN.11
PR;CURITIBA;TR790595;PR.CWS.ARR.12
PR;CURITIBA;TR790600;PR.CWS.BOQ.11
PR;CURITIBA;TR790600;PR.CWS.PIN.11
PR;CURITIBA;TR790600;PR.CWS.ARR.12
PR;CURITIBA;TR790601;PR.CSM.TAR.11
PR;CURITIBA;TR790601;PR.CWN.CEO.11
PR;CURITIBA;TR790601;PR.CWS.BOQ.11
PR;CURITIBA;TR790601;PR.CWS.ARR.12
PR;CURITIBA;TR790602;PR.CWS.ARR.12
PR;CURITIBA;TR790602;PR.CWS.ARR.11
PR;CURITIBA;TR790880;PR.CWS.BOQ.11
PR;CURITIBA;TR790880;PR.CWS.PIN.11
PR;CURITIBA;TR790880;PR.CWS.ARR.11
PR;CURITIBA;TR790880;PR.CWS.ARR.13
PR;CURITIBA;TR790880;PR.CWS.ARR.12
PR;CURITIBA;TR790880;PR.CWN.SFE.11
PR;CURITIBA;TR790881;PR.CWS.BOQ.11
PR;CURITIBA;TR790881;PR.CWS.ARR.13
PR;CURITIBA;TR790881;PR.CNM.BOV.11
PR;CURITIBA;TR790881;PR.CWS.ARR.12
PR;CURITIBA;TR790881;PR.CWS.PIN.11
PR;CURITIBA;TR791345;PR.CWS.ARR.11
PR;CURITIBA;TR791347;PR.CWN.CEO.12
PR;CURITIBA;TR791347;PR.CWN.SFE.11
PR;CURITIBA;TR791347;PR.CWN.CEO.11
PR;CURITIBA;TR791347;PR.CWS.ARR.11
PR;CURITIBA;TR791350;PR.CWS.BOQ.11
PR;CURITIBA;TR791350;PR.CSM.TAR.11
PR;CURITIBA;TR791351;PR.CWN.CEO.12
PR;CURITIBA;TR791351;PR.CWS.ARR.13
PR;CURITIBA;TR791351;PR.CWS.PIN.11
PR;CURITIBA;TR791353;PR.CWS.BOQ.11
PR;CURITIBA;TR791353;PR.CWS.PIN.11
PR;CURITIBA;TR791355;PR.CWN.CEO.12
PR;CURITIBA;TR791355;PR.CWN.CEO.11
PR;CURITIBA;TR791355;PR.CWS.BOQ.11
PR;CURITIBA;TR791355;PR.CSM.TAR.11
